subj;trial;block;prior;kappa;ct;delay;fix;keypressed;R;T_Angle;resp_mod;choice_x;choice_y;init_resp_angle;choiceAngle;choiceR;RT;MT;ts_b;ts_f;ts_p;ts_d;ts_r;ts_e;m_pos_x;m_pos_y;m_clock
pilot6blocks;49;0;0;1;False;3000;True;;8;96.85560075590374;eye;L;-1.2671360075473785;7.15547434464097;0;100.04;7.27;2.917738600051962;2.917774699977599;1684235636.2928746;1684235636.3034887;1684235637.0567627;1684235637.5586362;1684235640.5564435;1684235643.4744186;[];[];[]
pilot6blocks;0;1;0;1;False;3000;True;;8;-11.916163281099193;eye;L;8.806784689426422;-3.3040256649255753;0;-20.56;9.41;1.881832499988377;1.8818946999963373;1684235651.625591;1684235651.6346111;1684235652.3897326;1684235652.891957;1684235655.8894603;1684235657.7715766;[];[];[]
pilot6blocks;1;1;0;1;False;1000;True;;8;-160.4101750687732;eye;L;-6.9217976331710815;-3.3892340943217274;0;-153.91;7.71;1.266164799919352;1.2662313000764698;1684235658.447347;1684235658.453273;1684235659.2064447;1684235659.7076306;1684235660.6901312;1684235661.9555247;[];[];[]
pilot6blocks;2;1;0;1;False;1000;True;;8;110.7592016398412;eye;L;-2.9184307157993317;7.495114552974701;0;111.27;8.04;1.3670766000868753;1.3671431000111625;1684235662.6403148;1684235662.6523433;1684235663.4050813;1684235663.9077997;1684235664.8889081;1684235666.2553415;[];[];[]
pilot6blocks;3;1;0;1;False;3000;True;;8;170.9862889093055;eye;L;-7.083373129367828;1.0841873332858085;0;171.3;7.17;1.264736199984327;1.2648148000007495;1684235667.042176;1684235667.0513008;1684235667.8069253;1684235668.3080332;1684235671.3072398;1684235672.571844;[];[];[]
pilot6blocks;4;1;0;1;False;1000;True;;8;134.85370764078806;eye;L;-5.427280068397522;4.843408822640776;0;138.25;7.27;1.500001100008376;1.5000700999516994;1684235673.3580072;1684235673.3680255;1684235674.12127;1684235674.623057;1684235675.6043112;1684235677.1050286;[];[];[]
pilot6blocks;5;1;0;1;False;3000;True;;8;37.433963943342555;eye;L;5.996780097484589;4.643028326332569;0;37.75;7.58;0.7319339000387117;0.7320331999799237;1684235677.8807943;1684235677.8841672;1684235678.6394694;1684235679.1404836;1684235682.1397474;1684235682.871973;[];[];[]
pilot6blocks;6;1;0;1;False;1000;True;;8;-31.883423468885997;eye;L;6.911052584648132;-4.084503816068172;0;-30.58;8.03;1.2329812999814749;1.2330300000030547;1684235683.8840516;1684235683.9010513;1684235684.655285;1684235685.1560156;1684235686.1371105;1684235687.370667;[];[];[]
pilot6blocks;7;1;0;1;False;3000;True;;8;68.5228100227035;eye;L;3.342767834663391;6.32295830771327;0;62.14;7.15;1.248165600001812;1.248215000028722;1684235688.211694;1684235688.2179663;1684235688.9701679;1684235689.4719694;1684235692.4717133;1684235693.7200544;[];[];[]
pilot6blocks;8;1;0;1;False;1000;True;;8;-24.79295998734883;eye;L;7.169290482997894;-2.701697757840156;0;-20.65;7.66;0.9326178999617696;0.9326635000761598;1684235694.5317202;1684235694.5507224;1684235695.303626;1684235695.8051026;1684235696.7865758;1684235697.7198625;[];[];[]
pilot6blocks;9;1;0;1;False;3000;True;;8;170.07018141867442;eye;L;-6.097679138183594;1.0597180299460887;0;170.14;6.19;0.7482987999683246;0.7483499000081792;1684235698.5492332;1684235698.5672343;1684235699.3206367;1684235699.8218472;1684235702.8215952;1684235703.569251;[];[];[]
